title,rating,review,price_range,categorie,adresse,statut,heureOuverture,imageUrl,services,description,siteweb,telephone
Skyloud,5.0,(23),Non défini,Consultant informatique,3 Pl. Giovanni da Verrazzano. 69009 Lyon,Ouvert,18:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WhBmLf6Zpx-T1Ms4Dd82Mw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=174.54706&pitch=0&thumbfov=100,Non défini,Non défini,skyloud.fr,0972592012
Sofft Industries,Non défini,Non défini,Non défini,Consultant informatique,29 Bis Rue de Montribloud. 69009 Lyon,Ouvert,18:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2zIdjAQLYpyWbbl2xf0IYQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=173.89738&pitch=0&thumbfov=100,Non défini,Non défini,Non défini,0478475018
Alcyor,5.0,(7),Non défini,Consultant informatique,53 Rue Président Krüger. 69008 Lyon,Ouvert,19:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=96f6p9UmCWaMIG1NUSc63w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=96.37533&pitch=0&thumbfov=100,Non défini,Non défini,alcyor.fr,0472720500
Augusta Reeves Lyon Distributeur Intégrateur SAP,Non défini,Non défini,Non défini,Consultant informatique,57 Rue du Président Édouard Herriot. 69002 Lyon,Ouvert,18:00,https://lh5.googleusercontent.com/p/AF1QipN4XuzAUpoi5UPzGrbSPBuvX3wb36ZUKhl_KIM9=w960-h240-k-no,Non défini,Non défini,augustareeves.fr,0481062230
Lee informatique,3.0,(2),Non défini,Assistance et services informatiques,28 Rue Santos Dumont. 69008 Lyon,Ouvert,21:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l-pR8X9WECrCCcsNg9JMGA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=109.8423&pitch=0&thumbfov=100,Non défini,Non défini,Non défini,0659566099
Cube43,5.0,(3),Non défini,Entreprise de logiciels,Allée B. 33 Rue de la République. 69002 Lyon,Ouvert,18:00,https://lh5.googleusercontent.com/p/AF1QipOXU8Npf-kZ46r4QBwEdXYJigJS2EszsFA0KIs=w434-h240-k-no,Non défini,Non défini,cube43.fr,0682109862
Vincent Felsch Maintenance informatique,5.0,(16),Non défini,Assistance et services informatiques,Non défini,Non défini,Non défini,https://lh5.googleusercontent.com/p/AF1QipPtIhS1GHvjPIKY5uotvHTBmd8XQ3cPP0TdsVLE=w408-h272-k-no,Non défini,Non défini,avfmi.com,0643686081
IPNEOS Lyon,4.3,(6),Non défini,Assistance et services informatiques,12 Rue de Belfort. 69004 Lyon,Ouvert,12:00,https://lh5.googleusercontent.com/p/AF1QipM4Auhw8UktD1qlgAPaoBMy6hd6ssM3yp5v2uI9=w426-h240-k-no,Non défini,Non défini,ipneos.com,0987660000
Aessentia,4.7,(3),Non défini,Assistance et services informatiques,26 Rue du Général Mouton-Duvernet. 69003 Lyon,Ouvert,18:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HtReSQHVk1cOG5FmZzXkBA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=284.15445&pitch=0&thumbfov=100,Non défini,Non défini,aessentia.com,0437568190
LCDI Dépannage Informatique à domicile,5.0,(21),Non défini,Service de réparation d'ordinateurs,5 Rue Octavio Mey. 69005 Lyon,Ouvert,20:00,https://lh5.googleusercontent.com/p/AF1QipOng-lhkrlfDGIP_qP7yipO-XeO7qhErFyObwyz=w408-h860-k-no,Non défini,Non défini,lcdi-lyon.com,0642175180
Alteca. agence de Lyon,3.7,(3),Non défini,Consultant informatique,123 Bd de Stalingrad. 69100 Villeurbanne,Non défini,Non défini,https://lh5.googleusercontent.com/p/AF1QipM0gOfUyFc12DEH5wUrwwOcDvi-r8qhun4qXnc=w408-h306-k-no,Non défini,Non défini,alteca.fr,0478131300
Lincoln,5.0,(6),Non défini,Consultant informatique,51 Rue des Docks. 69009 Lyon,Ouvert 24h/24,Non défini,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3-OLV5bVWprMFOvsoqS8pg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=299.6588&pitch=0&thumbfov=100,Non défini,Non défini,lincoln.fr,0763216776
Atol Conseils et Développements Lyon,Non défini,Non défini,Non défini,Entreprise de logiciels,136 Cr Lafayette. 69006 Lyon,Ouvert,17:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1jm7Ad3iDPxmKDd201N09w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=253.10783&pitch=0&thumbfov=100,Non défini,Non défini,atolcd.com,0380688168
ALLOPC69,3.5,(8),Non défini,Magasin d'informatique,330 Rue André Philip. 69003 Lyon,Ouvert,18:30,https://lh5.googleusercontent.com/p/AF1QipMxR0aJZGhl7RXr0gKQjraDx82vR8ObU-OKg5tT=w408-h412-k-no,Achats en magasin,Non défini,allopc69.fr,0972846325
DOM'INFO,Non défini,Non défini,Non défini,Assistance et services informatiques,Non défini,Non défini,Non défini,https://lh5.googleusercontent.com/p/AF1QipM55KjxXUlNZ5IPpUwvIG6jRF3bfcN-BsE8CYL1=w408-h272-k-no,Non défini,Non défini,dominfolyon.fr,0615731058
IdéalSysteme : Infogérance informatique à Lyon,5.0,(2),Non défini,Assistance et services informatiques,21 Cr d'Herbouville. 69004 Lyon,Ouvert,12:00,https://lh5.googleusercontent.com/p/AF1QipNzAR-i7D8G8k7G-rp74F8t2gUQZHE3v5NE02-S=w408-h272-k-no,Non défini,Non défini,idealsysteme.com,0478421111
Technical Storage,Non défini,Non défini,Non défini,Consultant informatique,Tour Part-Dieu. 129 Rue Servient. 69003 Lyon,Ouvert,20:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AEUiChl7xEbajZP8Q75z1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=357.77158&pitch=0&thumbfov=100,Non défini,Non défini,technical-storage.com,0472535953
AXPROO SAS,4.3,(18),Non défini,Assistance et services informatiques,4 Rue de la République. 69001 Lyon,Ouvert,20:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cVBNdaPvrcu6Ivkix06X_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.0624&pitch=0&thumbfov=100,Non défini,Non défini,axproo.fr,0970150169
AXPROO SAS,4.3,(18),Non défini,Assistance et services informatiques,4 Rue de la République. 69001 Lyon,Ouvert,20:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cVBNdaPvrcu6Ivkix06X_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.0624&pitch=0&thumbfov=100,Non défini,Non défini,axproo.fr,0970150169
Mon Assistant Numérique Lyon,5.0,(5),Non défini,Assistance et services informatiques,7 Pass. Feuillat. 69003 Lyon,Ouvert,20:00,https://lh5.googleusercontent.com/p/AF1QipPEE2mV6xyupfS4qDHUd1muX6Qad3IJYUFwRV6X=w408-h260-k-no,Non défini,Non défini,lyon.monassistantnumerique.com,0428296493
PCM Solution - Dépannage informatique - Service informatique - Assistance informatique,5.0,(5),Non défini,Assistance et services informatiques,5 Rue de Nuits. 69004 Lyon,Ouvert,19:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VIghVUFJwbJc1P9PnSb_qw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=40.709343&pitch=0&thumbfov=100,Non défini,Non défini,pcmsolution.fr,0698975130
Maintenance informatique,Non défini,Non défini,Non défini,Magasin d'électronique,20 Rue Roux Soignat. 69003 Lyon,Fermé,14:30,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uLITFKXXAACtpcq6l0NzcQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=270.85184&pitch=0&thumbfov=100,Achats en magasin,Non défini,Non défini,Non défini
Wikit,5.0,(1),Non défini,Entreprise de logiciels,41 Quai Fulchiron. 69005 Lyon,Non défini,Non défini,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=o4M56SxEvQwFKJlkrmpOow&cb_client=search.gws-prod.gps&w=408&h=240&yaw=301.00122&pitch=0&thumbfov=100,Non défini,Non défini,wikit.ai,0428891022
Avéis,Non défini,Non défini,Non défini,Entreprise de logiciels,41 Rue du Lac. 69003 Lyon,Non défini,Non défini,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7oy3VQ7crk9Tn3GomNWo6Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=50.043266&pitch=0&thumbfov=100,Non défini,Non défini,aveis.net,0970408775
TooSmart,Non défini,Non défini,Non défini,Entreprise de logiciels,33 Rue Paul Duvivier. 69007 Lyon,Ouvert,18:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tB7lv_BGN2iVBXoQcJSHCw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=61.93136&pitch=0&thumbfov=100,Non défini,Non défini,toosmart.io,0673377450
Code Inc.,Non défini,Non défini,Non défini,Entreprise de logiciels,18 Av. Félix Faure. 69007 Lyon,Ouvert,18:00,https://lh5.googleusercontent.com/p/AF1QipPkgEO6e2G_rAgkiQBbgjgx63SToPjrVeS9XHzG=w408-h258-k-no,Non défini,Non défini,codeinc.co,Non défini
OOLITE,Non défini,Non défini,Non défini,Entreprise de logiciels,11 Rue Chavanne. 69001 Lyon,Ouvert,19:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3VJbN4cfny8I9vgarHJilg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=43.26617&pitch=0&thumbfov=100,Non défini,Non défini,oolite.fr,0678090947
fulll,4.8,(16),Non défini,Entreprise de logiciels,14 Rue Rhin et Danube. 69009 Lyon,Ouvert,18:00,https://lh5.googleusercontent.com/p/AF1QipOS2JlN7TNIIrd205KssrxuYQ_pEH_QuslxGWpJ=w408-h324-k-no,Non défini,Non défini,fulll.fr,0481920300
Alinto,4.8,(5),Non défini,Entreprise de logiciels,19 Quai Perrache. 69002 Lyon,Ouvert,18:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rHAT-m4MSGIhsP-W1bWGyQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=332.0245&pitch=0&thumbfov=100,Non défini,Non défini,alinto.com,0481090110
MSC Informatique,Non défini,Non défini,Non défini,Service de réparation d'ordinateurs,6 Rue Pierre Termier. 69009 Lyon,Ouvert,19:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=a6GBLx0yzVKa0CUovn7GQQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=82.55158&pitch=0&thumbfov=100,Non défini,Non défini,Non défini,0984187010
MSI Experts,4.1,(7),Non défini,Consultant informatique,16 Rue Barrème. 69006 Lyon,Ouvert,18:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=t5wybZ9WD2MvVd_yXIfCKw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=110.84629&pitch=0&thumbfov=100,Non défini,Non défini,msi-experts.net,0437427254
Inetum,3.9,(69),Non défini,Assistance et services informatiques,4 Quai des Étroits. 69005 Lyon,Ouvert,18:00,https://lh5.googleusercontent.com/p/AF1QipN-_03GzkvzaIEv8Jn_OgTk12Ky5gSVV5fUdsTW=w408-h306-k-no,Non défini,Non défini,gfi.world,0472681380
Linarda Informatique Lyon 2éme,5.0,(3),Non défini,Assistance et services informatiques,23 Rue Neuve. 69001 Lyon,Ouvert,19:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wTD_k3v4thrfj6Gp2Or1Sw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=324.37653&pitch=0&thumbfov=100,Non défini,Non défini,linarda.fr,0783467149
Alpes Solutech,3.0,(4),Non défini,Entreprise de logiciels,122 Av. Maréchal de Saxe. 69003 Lyon,Ouvert,18:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PoRcyatAz9ruIA_qqHYEsw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=303.55624&pitch=0&thumbfov=100,Non défini,Non défini,maxime-buisson.fr,0428299913
SOOGEST,3.0,(4),Non défini,Entreprise de logiciels,174 Mnt de Choulans. 69005 Lyon,Ouvert,17:30,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zW6QjVLyujSL6Yfhmg6sPw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=11.600189&pitch=0&thumbfov=100,Non défini,Non défini,soogest.fr,0478052718
OCI,4.5,(8),Non défini,Assistance et services informatiques,Immeuble le Quadrille. 30 Rue Edouard Nieuport. 69008 Lyon,Ouvert,12:30,https://lh5.googleusercontent.com/p/AF1QipOxbyBzmctlVl-CwNoGeCzw3oTa5jezVagBBUng=w408-h306-k-no,Non défini,Non défini,oci.fr,0969396040
Ingeloop,Non défini,Non défini,Non défini,Entreprise de logiciels,4 Rue de la République. 69001 Lyon,Ouvert,20:00,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cVBNdaPvrcu6Ivkix06X_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.0624&pitch=0&thumbfov=100,Non défini,Non défini,ingeloop.com,0676865880
Ariax Sarl,Non défini,Non défini,Non défini,Assistance et services informatiques,26 Rue Henri Gorjus. 69004 Lyon,Non défini,Non défini,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7EEiB5gGDpUpoFESd5sCxQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=68.183556&pitch=0&thumbfov=100,Non défini,Non défini,ariax.fr,0472106040
Ariax Sarl,Non défini,Non défini,Non défini,Assistance et services informatiques,26 Rue Henri Gorjus. 69004 Lyon,Non défini,Non défini,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7EEiB5gGDpUpoFESd5sCxQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=68.183556&pitch=0&thumbfov=100,Non défini,Non défini,ariax.fr,0472106040
WPA-experts,Non défini,Non défini,Non défini,Consultant informatique,4 Rue Paul Lintier. 69002 Lyon,Ouvert,17:30,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Gl6tqL4UVLU_PzcVRDLwEg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=286.86642&pitch=0&thumbfov=100,Non défini,Non défini,Non défini,0478926064
CORETECHNOLOGIE,5.0,(2),Non défini,Entreprise de logiciels,37 Ter Rue Saint-Romain. 69008 Lyon,Ouvert,18:00,https://lh5.googleusercontent.com/p/AF1QipP65xvrxSsHcpObXefPJYr0vJVyH8-ojWmgr3E=w970-h240-k-no,Non défini,Non défini,coretechnologie.com,0478617942
SAS S2ITEC,5.0,(1),Non défini,Assistance et services informatiques,333D Rue du Doyen Georges Chapas. 69009 Lyon,Ouvert,18:00,https://lh5.googleusercontent.com/p/AF1QipPDwL9PJ07YrQkvAUBGpqFt5s5HyjGcjP8Wqwb3=w690-h240-k-no,Non défini,Non défini,s2itec.fr,0482826090
Avantage Pc - Dépannage Informatique Express,4.7,(144),Non défini,Service de réparation d'ordinateurs,42 Rue Chevreul. 69007 Lyon,Ouvert,18:00,https://lh5.googleusercontent.com/p/AF1QipP_63JqB53hQMP5SEvtSHlLgLR7tjmVVGsGThrk=w408-h286-k-no,Non défini,Non défini,reparation-ordinateur-lyon.fr,0980425090
Catchr,Non défini,Non défini,Non défini,Entreprise de logiciels,14 Rue Domer. 69007 Lyon,Non défini,Non défini,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=USEAbivjJJbVlK6Ohw8fVA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=199.98071&pitch=0&thumbfov=100,Non défini,Non défini,Non défini,Non défini
